Symbol,All-Time High,Current Price
A,"Ticker
A    175.067175
dtype: float64","Ticker
A    102.809998
Name: 2025-04-22 00:00:00, dtype: float64"
AAPL,"Ticker
AAPL    259.814335
dtype: float64","Ticker
AAPL    199.740005
Name: 2025-04-22 00:00:00, dtype: float64"
ABBV,"Ticker
ABBV    216.657757
dtype: float64","Ticker
ABBV    173.779999
Name: 2025-04-22 00:00:00, dtype: float64"
ABT,"Ticker
ABT    140.578813
dtype: float64","Ticker
ABT    131.729996
Name: 2025-04-22 00:00:00, dtype: float64"
ACN,"Ticker
ACN    398.900648
dtype: float64","Ticker
ACN    283.959991
Name: 2025-04-22 00:00:00, dtype: float64"
ADBE,"Ticker
ADBE    699.539978
dtype: float64","Ticker
ADBE    349.910004
Name: 2025-04-22 00:00:00, dtype: float64"
ADI,"Ticker
ADI    246.029569
dtype: float64","Ticker
ADI    178.5
Name: 2025-04-22 00:00:00, dtype: float64"
ADP,"Ticker
ADP    321.128858
dtype: float64","Ticker
ADP    292.890015
Name: 2025-04-22 00:00:00, dtype: float64"
ADSK,"Ticker
ADSK    344.390015
dtype: float64","Ticker
ADSK    261.140015
Name: 2025-04-22 00:00:00, dtype: float64"
AEP,"Ticker
AEP    110.480003
dtype: float64","Ticker
AEP    108.150002
Name: 2025-04-22 00:00:00, dtype: float64"
AIG,"Ticker
AIG    1244.966044
dtype: float64","Ticker
AIG    81.639999
Name: 2025-04-22 00:00:00, dtype: float64"
AMAT,"Ticker
AMAT    254.215767
dtype: float64","Ticker
AMAT    138.300003
Name: 2025-04-22 00:00:00, dtype: float64"
AMD,"Ticker
AMD    227.300003
dtype: float64","Ticker
AMD    86.260002
Name: 2025-04-22 00:00:00, dtype: float64"
AMGN,"Ticker
AMGN    338.980297
dtype: float64","Ticker
AMGN    278.399994
Name: 2025-04-22 00:00:00, dtype: float64"
AMT,"Ticker
AMT    271.937808
dtype: float64","Ticker
AMT    220.970001
Name: 2025-04-22 00:00:00, dtype: float64"
AMZN,"Ticker
AMZN    242.520004
dtype: float64","Ticker
AMZN    173.179993
Name: 2025-04-22 00:00:00, dtype: float64"
APD,"Ticker
APD    339.069492
dtype: float64","Ticker
APD    265.359985
Name: 2025-04-22 00:00:00, dtype: float64"
AVGO,"Ticker
AVGO    250.449082
dtype: float64","Ticker
AVGO    169.580002
Name: 2025-04-22 00:00:00, dtype: float64"
AXP,"Ticker
AXP    325.190418
dtype: float64","Ticker
AXP    252.419998
Name: 2025-04-22 00:00:00, dtype: float64"
BA,"Ticker
BA    435.56376
dtype: float64","Ticker
BA    162.520004
Name: 2025-04-22 00:00:00, dtype: float64"
BAC,"Ticker
BAC    47.679109
dtype: float64","Ticker
BAC    38.32
Name: 2025-04-22 00:00:00, dtype: float64"
BDX,"Ticker
BDX    279.145563
dtype: float64","Ticker
BDX    199.880005
Name: 2025-04-22 00:00:00, dtype: float64"
BIIB,"Ticker
BIIB    480.179993
dtype: float64","Ticker
BIIB    118.889999
Name: 2025-04-22 00:00:00, dtype: float64"
