Symbol,All Time High,Current Price
AAPL,"Ticker
AAPL    259.814335
dtype: float64","Ticker
AAPL    198.289993
Name: 2025-04-22 00:00:00, dtype: float64"
AMD,"Ticker
AMD    227.300003
dtype: float64","Ticker
AMD    85.330002
Name: 2025-04-22 00:00:00, dtype: float64"
AMAT,"Ticker
AMAT    254.215767
dtype: float64","Ticker
AMAT    136.770004
Name: 2025-04-22 00:00:00, dtype: float64"
AMZN,"Ticker
AMZN    242.520004
dtype: float64","Ticker
AMZN    172.339996
Name: 2025-04-22 00:00:00, dtype: float64"
ASML,"Ticker
ASML    1105.471053
dtype: float64","Ticker
ASML    631.669983
Name: 2025-04-22 00:00:00, dtype: float64"
AVGO,"Ticker
AVGO    250.449082
dtype: float64","Ticker
AVGO    167.320007
Name: 2025-04-22 00:00:00, dtype: float64"
AXP,"Ticker
AXP    325.190418
dtype: float64","Ticker
AXP    251.589996
Name: 2025-04-22 00:00:00, dtype: float64"
BDX,"Ticker
BDX    279.145563
dtype: float64","Ticker
BDX    199.169998
Name: 2025-04-22 00:00:00, dtype: float64"
BWA,"Ticker
BWA    50.772676
dtype: float64","Ticker
BWA    26.82
Name: 2025-04-22 00:00:00, dtype: float64"
CDNS,"Ticker
CDNS    328.98999
dtype: float64","Ticker
CDNS    256.560089
Name: 2025-04-22 00:00:00, dtype: float64"
CI,"Ticker
CI    367.474392
dtype: float64","Ticker
CI    324.769989
Name: 2025-04-21 00:00:00, dtype: float64"
CMCSA,"Ticker
CMCSA    55.555294
dtype: float64","Ticker
CMCSA    33.990002
Name: 2025-04-22 00:00:00, dtype: float64"
CMG,"Ticker
CMG    69.261398
dtype: float64","Ticker
CMG    46.950001
Name: 2025-04-22 00:00:00, dtype: float64"
COST,"Ticker
COST    1078.22998
dtype: float64","Ticker
COST    975.02002
Name: 2025-04-22 00:00:00, dtype: float64"
CRWD,"Ticker
CRWD    455.589996
dtype: float64","Ticker
CRWD    365.160004
Name: 2025-04-22 00:00:00, dtype: float64"
GOOG,"Ticker
GOOG    208.462496
dtype: float64","Ticker
GOOG    152.729996
Name: 2025-04-22 00:00:00, dtype: float64"
GS,"Ticker
GS    668.873291
dtype: float64","Ticker
GS    518.150024
Name: 2025-04-22 00:00:00, dtype: float64"
HD,"Ticker
HD    434.31221
dtype: float64","Ticker
HD    354.190002
Name: 2025-04-22 00:00:00, dtype: float64"
INTU,"Ticker
INTU    712.348423
dtype: float64","Ticker
INTU    581.825012
Name: 2025-04-22 00:00:00, dtype: float64"
JNJ,"Ticker
JNJ    170.8659
dtype: float64","Ticker
JNJ    157.5
Name: 2025-04-22 00:00:00, dtype: float64"
LLY,"Ticker
LLY    969.251584
dtype: float64","Ticker
LLY    823.179993
Name: 2025-04-22 00:00:00, dtype: float64"
LOW,"Ticker
LOW    284.554219
dtype: float64","Ticker
LOW    219.179993
Name: 2025-04-22 00:00:00, dtype: float64"
LRCX,"Ticker
LRCX    112.315103
dtype: float64","Ticker
LRCX    62.91
Name: 2025-04-22 00:00:00, dtype: float64"
MA,"Ticker
MA    581.308005
dtype: float64","Ticker
MA    525.86908
Name: 2025-04-22 00:00:00, dtype: float64"
MDT,"Ticker
MDT    120.960872
dtype: float64","Ticker
MDT    83.360001
Name: 2025-04-22 00:00:00, dtype: float64"
MCO,"Ticker
MCO    530.931857
dtype: float64","Ticker
MCO    427.654999
Name: 2025-04-22 00:00:00, dtype: float64"
META,"Ticker
META    740.251419
dtype: float64","Ticker
META    496.535004
Name: 2025-04-22 00:00:00, dtype: float64"
